_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_widget_list_58_is_add,_content_data_widget_list_58_sub_data,_content_data_widget_list_58_sub_key,_content_data_widget_list_58_band_id,_content_data_widget_list_58_type,_content_data_widget_list_58_platform_in,_content_data_widget_list_58_site,_content_data_widget_list_58_stay_time,_content_data_widget_list_58_url,_content_data_widget_list_58_jump_url,_content_data_widget_list_58_tip_bottom_color,_content_data_widget_list_58_tip_text_color,_content_data_widget_list_58_tip_text,_content_data_widget_list_58_web_cover,_content_data_widget_list_58_cover,_content_data_widget_list_58_title,_content_data_widget_list_58_id,_content_data_timestamp,_msg_type,
0.38,19:34:43,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30922300%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864083,other,
0.48,19:34:43,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30922800%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864083,other,
0.53,19:34:43,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30923300%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864083,other,
0.58,19:34:43,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30923900%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864083,other,
0.65,19:34:43,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30923800%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864083,other,
1.56,19:34:44,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30924900%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864084,other,
1.6,19:34:44,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30924400%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864084,other,
2.48,19:34:45,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30925400%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864085,other,
2.58,19:34:45,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30925900%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864085,other,
8.36,19:34:51,2021.12.30,WIDGET_BANNER,True,%7B%22people_type%22%3A0%2C%22sub_task_info%22%3A%5B%7B%22sub_task_id%22%3A261%2C%22sub_task_type%22%3A5%2C%22title%22%3A%22%E8%8E%B7%E5%BE%97%E7%94%B5%E6%B1%A0%22%2C%22target_num%22%3A377900000%2C%22current_num%22%3A30925900%2C%22reward_type%22%3A%5B1%5D%2C%22people_type%22%3A0%7D%5D%7D,,0,7,['pc_link'],1,5,,http://bilibili@wwww.com,,,,,,主播任务挂件,58,1640864091,other,
