_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_end_time,_content_data_start_time,_content_data_gift_name,_content_data_gift_id,_content_data_price,_content_data_num,_content_data_guard_level,_content_data_username,_content_data_uid,_msg_type,
19.54,19:35:02,2021.12.30,GUARD_BUY,1640864101,1640864101,舰长,10003,198000,1,3,赵菡砚,4695942,other,
34.49,19:35:17,2021.12.30,GUARD_BUY,1640864116,1640864116,舰长,10003,198000,1,3,Remember_Echo,4778898,other,
59.11,19:35:41,2021.12.30,GUARD_BUY,1640864141,1640864141,舰长,10003,198000,1,3,顾徐风,16489363,other,
120.46,19:36:43,2021.12.30,GUARD_BUY,1640864202,1640864202,舰长,10003,198000,1,3,leslotta,243876570,other,
140.48,19:37:03,2021.12.30,GUARD_BUY,1640864222,1640864222,舰长,10003,198000,1,3,我不是4是10我是414,630070732,other,
210.72,19:38:13,2021.12.30,GUARD_BUY,1640864292,1640864292,舰长,10003,198000,1,3,alcoholic-怡,359793919,other,
244.48,19:38:47,2021.12.30,GUARD_BUY,1640864326,1640864326,舰长,10003,198000,1,3,兰迪尔克,441977937,other,
394.98,19:41:17,2021.12.30,GUARD_BUY,1640864476,1640864476,舰长,10003,198000,1,3,卷卷吐司喵,12342711,other,
428.98,19:41:51,2021.12.30,GUARD_BUY,1640864511,1640864511,舰长,10003,198000,1,3,沙条爱歌-,9074486,other,
438.57,19:42:01,2021.12.30,GUARD_BUY,1640864521,1640864521,舰长,10003,198000,1,3,安苒爱吃cheese,39428802,other,
443.89,19:42:06,2021.12.30,GUARD_BUY,1640864526,1640864526,舰长,10003,198000,1,3,花小珞,3380182,other,
444.93,19:42:07,2021.12.30,GUARD_BUY,1640864527,1640864527,舰长,10003,198000,1,3,亿万·布拉金斯基·,13069325,other,
451.41,19:42:14,2021.12.30,GUARD_BUY,1640864533,1640864533,舰长,10003,198000,1,3,伊梦梦梦梦梦梦,67943495,other,
500.81,19:43:03,2021.12.30,GUARD_BUY,1640864582,1640864582,舰长,10003,198000,1,3,梅尔格伦,33710409,other,
541.13,19:43:43,2021.12.30,GUARD_BUY,1640864623,1640864623,舰长,10003,198000,1,3,萄涩,40016047,other,
636.25,19:45:19,2021.12.30,GUARD_BUY,1640864718,1640864718,舰长,10003,198000,1,3,秋生原地入睡,9211608,other,
647.89,19:45:30,2021.12.30,GUARD_BUY,1640864730,1640864730,舰长,10003,198000,1,3,不跟小李贴贴天理难容,357064289,other,
695.78,19:46:18,2021.12.30,GUARD_BUY,1640864777,1640864777,舰长,10003,198000,1,3,绫綾,17979428,other,
722.38,19:46:45,2021.12.30,GUARD_BUY,1640864804,1640864804,提督,10002,1998000,1,2,万俟冬冬菌丝蘑菇,30383037,other,
752.98,19:47:15,2021.12.30,GUARD_BUY,1640864834,1640864834,舰长,10003,198000,1,3,海淀不知名网友,37317169,other,
880.47,19:49:23,2021.12.30,GUARD_BUY,1640864962,1640864962,总督,10001,19998000,1,1,碧根果核桃碎我都要,491302872,other,
923.36,19:50:06,2021.12.30,GUARD_BUY,1640865005,1640865005,舰长,10003,198000,1,3,还我泥桑,5595383,other,
998.25,19:51:21,2021.12.30,GUARD_BUY,1640865080,1640865080,舰长,10003,198000,1,3,旺仔牛奶配香槟_-,301798958,other,
1030.31,19:51:53,2021.12.30,GUARD_BUY,1640865112,1640865112,舰长,10003,198000,1,3,青衣覆白荷,25252403,other,
1031.33,19:51:54,2021.12.30,GUARD_BUY,1640865113,1640865113,舰长,10003,198000,1,3,SnaveSirhc,316179618,other,
