_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_fans_club,_content_data_red_notice,_content_data_fans,_content_data_roomid,_msg_type,
21.48,19:35:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,23994,-1,6781214,11365,other,
80.91,19:36:03,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24005,-1,6781203,11365,other,
141.84,19:37:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24018,-1,6781190,11365,other,
200.6,19:38:03,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24023,-1,6781177,11365,other,
260.87,19:39:03,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24030,-1,6781158,11365,other,
320.98,19:40:03,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24031,-1,6781148,11365,other,
381.11,19:41:03,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24046,-1,6781128,11365,other,
441.69,19:42:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24063,-1,6781118,11365,other,
500.91,19:43:03,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24070,-1,6781103,11365,other,
561.33,19:44:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24086,-1,6781088,11365,other,
621.28,19:45:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24091,-1,6781071,11365,other,
681.93,19:46:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24097,-1,6781055,11365,other,
741.17,19:47:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24104,-1,6781048,11365,other,
801.15,19:48:03,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24106,-1,6781036,11365,other,
861.99,19:49:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24111,-1,6781028,11365,other,
921.22,19:50:04,2021.12.30,ROOM_REAL_TIME_MESSAGE_UPDATE,24119,-1,6781019,11365,other,
