_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname,_content_data_uid,_content_data_total_coin,_content_data_top_list,_content_data_timestamp,_content_data_tid,_content_data_tag_image,_content_data_svga_block,_content_data_super_gift_num,_content_data_super_batch_gift_num,_content_data_super,_content_data_silver,_content_data_send_master,_content_data_rnd,_content_data_remain,_content_data_rcost,_content_data_price,_content_data_original_gift_name,_content_data_num,_content_data_name_color,_content_data_medal_info_anchor_roomid,_content_data_medal_info_anchor_uname,_content_data_medal_info_guard_level,_content_data_medal_info_icon_id,_content_data_medal_info_is_lighted,_content_data_medal_info_medal_color,_content_data_medal_info_medal_color_border,_content_data_medal_info_medal_color_end,_content_data_medal_info_medal_color_start,_content_data_medal_info_medal_level,_content_data_medal_info_medal_name,_content_data_medal_info_special,_content_data_medal_info_target_id,_content_data_magnification,_content_data_is_special_batch,_content_data_is_first,_content_data_guard_level,_content_data_gold,_content_data_giftType,_content_data_giftName,_content_data_giftId,_content_data_float_sc_resource_id,_content_data_face,_content_data_effect_block,_content_data_effect,_content_data_draw,_content_data_dmscore,_content_data_discount_price,_content_data_demarcation,_content_data_crit_prob,_content_data_combo_total_coin,_content_data_combo_stay_time,_content_data_combo_send,_content_data_combo_resources_id,_content_data_coin_type,_content_data_broadcast_id,_content_data_blind_gift,_content_data_biz_source,_content_data_beatId,_content_data_batch_combo_send_action,_content_data_batch_combo_send_batch_combo_id,_content_data_batch_combo_send_batch_combo_num,_content_data_batch_combo_send_blind_gift,_content_data_batch_combo_send_gift_id,_content_data_batch_combo_send_gift_name,_content_data_batch_combo_send_gift_num,_content_data_batch_combo_send_send_master,_content_data_batch_combo_send_uid,_content_data_batch_combo_send_uname,_content_data_batch_combo_id,_content_data_action,_msg_type,
32.38,19:35:15,2021.12.30,SEND_GIFT,袋袋子先生超能装,455233046,1000,None,1640864114,1640864114131600001,,0,2,2,0,0,None,1640864114131600001,0,517586018,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,2,核糖,,837470,1,0,False,0,0,0,铃铛,31175,0,http://i2.hdslb.com/bfs/face/a10a41b900fd7e8605ed8a835c47182ab21c56fb.jpg,0,0,0,16,1000,2,0,2000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,2,None,31175,铃铛,1,None,455233046,袋袋子先生超能装,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,投喂,gift,
32.38,19:35:15,2021.12.30,SEND_GIFT,袋袋子先生超能装,455233046,1000,None,1640864114,1640864114131600002,,0,3,3,0,0,None,1640864114131600002,0,517586018,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,2,核糖,,837470,1,0,False,0,0,0,铃铛,31175,0,http://i2.hdslb.com/bfs/face/a10a41b900fd7e8605ed8a835c47182ab21c56fb.jpg,0,0,0,16,1000,2,0,3000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,3,None,31175,铃铛,1,None,455233046,袋袋子先生超能装,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,投喂,gift,
33.44,19:35:16,2021.12.30,SEND_GIFT,袋袋子先生超能装,455233046,1000,None,1640864115,1640864115131600001,,0,4,4,0,0,None,1640864115131600001,0,517586018,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,2,核糖,,837470,1,0,False,0,0,0,铃铛,31175,0,http://i2.hdslb.com/bfs/face/a10a41b900fd7e8605ed8a835c47182ab21c56fb.jpg,0,0,0,16,1000,2,0,4000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,4,None,31175,铃铛,1,None,455233046,袋袋子先生超能装,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,投喂,gift,
33.44,19:35:16,2021.12.30,SEND_GIFT,袋袋子先生超能装,455233046,1000,None,1640864115,1640864115131600002,,0,5,5,0,0,None,1640864115131600002,0,517586038,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,2,核糖,,837470,1,0,False,0,0,0,铃铛,31175,0,http://i2.hdslb.com/bfs/face/a10a41b900fd7e8605ed8a835c47182ab21c56fb.jpg,0,0,0,16,1000,2,0,5000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,5,None,31175,铃铛,1,None,455233046,袋袋子先生超能装,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,投喂,gift,
42.08,19:35:24,2021.12.30,SEND_GIFT,蕾克西菜菜子,664223240,2000,None,1640864124,1640864124131000002,,0,2,2,0,0,None,1640864124131000002,0,517587988,2000,,1,,0,,0,0,0,6126494,12632256,12632256,12632256,5,蕾丝,,777536,1,0,False,0,0,0,盛典门票,31109,0,http://i2.hdslb.com/bfs/face/86c207184f9b754dde5e8f287f5c0de2a6dd1397.jpg,0,0,0,40,2000,2,0,4000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:664223240:777536:31109:1640864123.4451,2,None,31109,盛典门票,1,None,664223240,蕾克西菜菜子,batch:gift:combo_id:664223240:777536:31109:1640864123.4451,投喂,gift,
42.08,19:35:24,2021.12.30,SEND_GIFT,蕾克西菜菜子,664223240,2000,None,1640864124,1640864124131000007,,0,3,3,0,0,None,1640864124131000007,0,517587993,2000,,1,,0,,0,0,0,6126494,12632256,12632256,12632256,5,蕾丝,,777536,1,0,False,0,0,0,盛典门票,31109,0,http://i2.hdslb.com/bfs/face/86c207184f9b754dde5e8f287f5c0de2a6dd1397.jpg,0,0,0,40,2000,2,0,6000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:664223240:777536:31109:1640864123.4451,3,None,31109,盛典门票,1,None,664223240,蕾克西菜菜子,batch:gift:combo_id:664223240:777536:31109:1640864123.4451,投喂,gift,
57.0,19:35:39,2021.12.30,SEND_GIFT,八带它不香,1774970478,1000,None,1640864138,1640864138131800002,,0,2,2,0,0,None,1640864138131800002,0,517593892,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,3,骚豆腐,,4578433,1,0,False,0,0,0,铃铛,31175,0,http://i0.hdslb.com/bfs/face/edd5e842447aadf0dc81419228f04dbcc78f1d39.jpg,0,0,0,16,1000,2,0,2000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,2,None,31175,铃铛,1,None,1774970478,八带它不香,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,投喂,gift,
57.0,19:35:39,2021.12.30,SEND_GIFT,八带它不香,1774970478,1000,None,1640864138,1640864138131800003,,0,3,3,0,0,None,1640864138131800003,0,517593892,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,3,骚豆腐,,4578433,1,0,False,0,0,0,铃铛,31175,0,http://i0.hdslb.com/bfs/face/edd5e842447aadf0dc81419228f04dbcc78f1d39.jpg,0,0,0,16,1000,2,0,3000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,3,None,31175,铃铛,1,None,1774970478,八带它不香,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,投喂,gift,
57.0,19:35:39,2021.12.30,SEND_GIFT,八带它不香,1774970478,1000,None,1640864138,1640864138131800004,,0,4,4,0,0,None,1640864138131800004,0,517593892,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,3,骚豆腐,,4578433,1,0,False,0,0,0,铃铛,31175,0,http://i0.hdslb.com/bfs/face/edd5e842447aadf0dc81419228f04dbcc78f1d39.jpg,0,0,0,16,1000,2,0,4000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,4,None,31175,铃铛,1,None,1774970478,八带它不香,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,投喂,gift,
60.15,19:35:42,2021.12.30,SEND_GIFT,八带它不香,1774970478,1000,None,1640864142,1640864142131800001,,0,5,5,0,0,None,1640864142131800001,0,517593934,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,3,骚豆腐,,4578433,1,0,False,0,0,0,铃铛,31175,0,http://i0.hdslb.com/bfs/face/edd5e842447aadf0dc81419228f04dbcc78f1d39.jpg,0,0,0,16,1000,2,0,5000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,5,None,31175,铃铛,1,None,1774970478,八带它不香,batch:gift:combo_id:1774970478:777536:31175:1640864138.7921,投喂,gift,
64.32,19:35:47,2021.12.30,SEND_GIFT,Catalpa杏仁露,87471022,1000,None,1640864146,1640864146121200001,,0,2,2,0,0,None,1640864146121200001,0,517595575,1000,,1,,0,,0,0,1,12478086,12478086,12478086,12478086,13,蕾丝,,777536,1,0,False,0,0,0,LEX充电宝,30567,0,http://i1.hdslb.com/bfs/face/96cb44ef0cbd4f6dfc329d7fbd2c14c66cad4e69.jpg,0,0,0,56,1000,2,0,2000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:87471022:777536:30567:1640864145.7300,2,None,30567,LEX充电宝,1,None,87471022,Catalpa杏仁露,batch:gift:combo_id:87471022:777536:30567:1640864145.7300,投喂,gift,
64.32,19:35:47,2021.12.30,SEND_GIFT,Catalpa杏仁露,87471022,1000,None,1640864146,1640864146121200002,,0,3,3,0,0,None,1640864146121200002,0,517595575,1000,,1,,0,,0,0,1,12478086,12478086,12478086,12478086,13,蕾丝,,777536,1,0,False,0,0,0,LEX充电宝,30567,0,http://i1.hdslb.com/bfs/face/96cb44ef0cbd4f6dfc329d7fbd2c14c66cad4e69.jpg,0,0,0,56,1000,2,0,3000,3,None,1,gold,0,None,Live,,投喂,batch:gift:combo_id:87471022:777536:30567:1640864145.7300,3,None,30567,LEX充电宝,1,None,87471022,Catalpa杏仁露,batch:gift:combo_id:87471022:777536:30567:1640864145.7300,投喂,gift,
