_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_rank_type,_content_data_list,_msg_type,
52.83,19:35:35,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 2, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20000', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 765916, 'face': 'http://i1.hdslb.com/bfs/face/13b345ccb3f2b6e7591a4d40223082f1c3771f17.jpg', 'score': '5001', 'uname': 'Seers未遇见', 'rank': 5, 'guard_level': 3}, {'uid': 482439, 'face': 'http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg', 'score': '4602', 'uname': '吃红薯要用勺', 'rank': 6, 'guard_level': 3}, {'uid': 1840457354, 'face': 'http://i2.hdslb.com/bfs/face/0dc4542c550eb7e8af2858b7ef76bc9df22f9f19.jpg', 'score': '4305', 'uname': '穆彻', 'rank': 7, 'guard_level': 2}],other,
96.65,19:36:19,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 2, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20000', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 35541354, 'face': 'http://i0.hdslb.com/bfs/face/36bf15219d8b799b1750587d3bde48a8b9757482.jpg', 'score': '5200', 'uname': '佑佑yoyo_', 'rank': 5, 'guard_level': 2}, {'uid': 765916, 'face': 'http://i1.hdslb.com/bfs/face/13b345ccb3f2b6e7591a4d40223082f1c3771f17.jpg', 'score': '5001', 'uname': 'Seers未遇见', 'rank': 6, 'guard_level': 3}, {'uid': 482439, 'face': 'http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg', 'score': '4602', 'uname': '吃红薯要用勺', 'rank': 7, 'guard_level': 3}],other,
154.15,19:37:16,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 2, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 35541354, 'face': 'http://i0.hdslb.com/bfs/face/36bf15219d8b799b1750587d3bde48a8b9757482.jpg', 'score': '5200', 'uname': '佑佑yoyo_', 'rank': 4, 'guard_level': 2}, {'uid': 765916, 'face': 'http://i1.hdslb.com/bfs/face/13b345ccb3f2b6e7591a4d40223082f1c3771f17.jpg', 'score': '5001', 'uname': 'Seers未遇见', 'rank': 5, 'guard_level': 3}, {'uid': 482439, 'face': 'http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg', 'score': '4602', 'uname': '吃红薯要用勺', 'rank': 6, 'guard_level': 3}, {'uid': 1840457354, 'face': 'http://i2.hdslb.com/bfs/face/0dc4542c550eb7e8af2858b7ef76bc9df22f9f19.jpg', 'score': '4305', 'uname': '穆彻', 'rank': 7, 'guard_level': 2}],other,
155.2,19:37:18,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 2, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 35541354, 'face': 'http://i0.hdslb.com/bfs/face/36bf15219d8b799b1750587d3bde48a8b9757482.jpg', 'score': '5200', 'uname': '佑佑yoyo_', 'rank': 5, 'guard_level': 2}, {'uid': 765916, 'face': 'http://i1.hdslb.com/bfs/face/13b345ccb3f2b6e7591a4d40223082f1c3771f17.jpg', 'score': '5001', 'uname': 'Seers未遇见', 'rank': 6, 'guard_level': 3}, {'uid': 482439, 'face': 'http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg', 'score': '4602', 'uname': '吃红薯要用勺', 'rank': 7, 'guard_level': 3}],other,
187.06,19:37:49,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 2, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '10002', 'uname': '無双Shmily', 'rank': 5, 'guard_level': 1}, {'uid': 35541354, 'face': 'http://i0.hdslb.com/bfs/face/36bf15219d8b799b1750587d3bde48a8b9757482.jpg', 'score': '5200', 'uname': '佑佑yoyo_', 'rank': 6, 'guard_level': 2}, {'uid': 765916, 'face': 'http://i1.hdslb.com/bfs/face/13b345ccb3f2b6e7591a4d40223082f1c3771f17.jpg', 'score': '5001', 'uname': 'Seers未遇见', 'rank': 7, 'guard_level': 3}],other,
202.74,19:38:05,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 2, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '10002', 'uname': '無双Shmily', 'rank': 5, 'guard_level': 1}, {'uid': 765916, 'face': 'http://i1.hdslb.com/bfs/face/13b345ccb3f2b6e7591a4d40223082f1c3771f17.jpg', 'score': '5001', 'uname': 'Seers未遇见', 'rank': 6, 'guard_level': 3}, {'uid': 482439, 'face': 'http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg', 'score': '4602', 'uname': '吃红薯要用勺', 'rank': 7, 'guard_level': 3}],other,
203.84,19:38:06,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 2, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '10002', 'uname': '無双Shmily', 'rank': 5, 'guard_level': 1}, {'uid': 35541354, 'face': 'http://i0.hdslb.com/bfs/face/36bf15219d8b799b1750587d3bde48a8b9757482.jpg', 'score': '5201', 'uname': '佑佑yoyo_', 'rank': 6, 'guard_level': 2}, {'uid': 765916, 'face': 'http://i1.hdslb.com/bfs/face/13b345ccb3f2b6e7591a4d40223082f1c3771f17.jpg', 'score': '5001', 'uname': 'Seers未遇见', 'rank': 7, 'guard_level': 3}],other,
212.85,19:38:15,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25205', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 2, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 3, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 4, 'guard_level': 2}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '10002', 'uname': '無双Shmily', 'rank': 5, 'guard_level': 1}, {'uid': 482439, 'face': 'http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg', 'score': '5602', 'uname': '吃红薯要用勺', 'rank': 6, 'guard_level': 3}, {'uid': 35541354, 'face': 'http://i0.hdslb.com/bfs/face/36bf15219d8b799b1750587d3bde48a8b9757482.jpg', 'score': '5201', 'uname': '佑佑yoyo_', 'rank': 7, 'guard_level': 2}],other,
275.77,19:39:18,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22452', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 3, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 4, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 482439, 'face': 'http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg', 'score': '5602', 'uname': '吃红薯要用勺', 'rank': 6, 'guard_level': 3}, {'uid': 35541354, 'face': 'http://i0.hdslb.com/bfs/face/36bf15219d8b799b1750587d3bde48a8b9757482.jpg', 'score': '5201', 'uname': '佑佑yoyo_', 'rank': 7, 'guard_level': 2}],other,
470.45,19:42:33,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22452', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 3, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 4, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12453', 'uname': 'P塔pi', 'rank': 6, 'guard_level': 3}, {'uid': 482439, 'face': 'http://i0.hdslb.com/bfs/face/54a9ba84fd3aba86cc6c1f0e37ac94606e22b496.jpg', 'score': '5602', 'uname': '吃红薯要用勺', 'rank': 7, 'guard_level': 3}],other,
476.73,19:42:39,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 6587897, 'face': 'http://i2.hdslb.com/bfs/face/112d0ddb1ccc32dc3d41a4a19ab6b09b0193cf8e.jpg', 'score': '25705', 'uname': '北红豆', 'rank': 1, 'guard_level': 1}, {'uid': 29055678, 'face': 'http://i0.hdslb.com/bfs/face/98501596fbe336bd4af374a5cd6eefc659e922d5.jpg', 'score': '22452', 'uname': '無双Shmily', 'rank': 2, 'guard_level': 1}, {'uid': 9658080, 'face': 'http://i0.hdslb.com/bfs/face/44c45b88d4ede76852ea6dfd15128664737104fb.jpg', 'score': '20985', 'uname': '野生月亮_', 'rank': 3, 'guard_level': 2}, {'uid': 2703098, 'face': 'http://i2.hdslb.com/bfs/face/7355950e6a04a361b701cf4c1041d90c5146cdd1.jpg', 'score': '20501', 'uname': '南瓜54', 'rank': 4, 'guard_level': 1}, {'uid': 4417751, 'face': 'http://i2.hdslb.com/bfs/face/8284326849aff98b30cb8874f906d8b9a1618484.jpg', 'score': '19980', 'uname': '六一五七三', 'rank': 5, 'guard_level': 2}, {'uid': 155810477, 'face': 'http://i2.hdslb.com/bfs/face/103e7e9e7bfc14d5479282934045100edd3df3e4.jpg', 'score': '12453', 'uname': 'P塔pi', 'rank': 6, 'guard_level': 3}, {'uid': 30383037, 'face': 'http://i0.hdslb.com/bfs/face/4a3e5fb8715a5334c66abf873d2682c587e04c97.jpg', 'score': '9980', 'uname': '万俟冬冬菌丝蘑菇', 'rank': 7, 'guard_level': 2}],other,
