_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_refresh,_content_data_red_point,_content_data_apply_count,_content_data_category,_content_data_room_id,_content_roomid,_msg_type,
2930.66,20:23:33,2021.12.30,VOICE_JOIN_LIST,1,1,1,1,11365,11365,other,
2936.01,20:23:38,2021.12.30,VOICE_JOIN_LIST,1,1,0,1,11365,11365,other,
2953.34,20:23:56,2021.12.30,VOICE_JOIN_LIST,1,1,1,1,11365,11365,other,
3076.06,20:25:58,2021.12.30,VOICE_JOIN_LIST,1,1,2,1,11365,11365,other,
3210.85,20:28:13,2021.12.30,VOICE_JOIN_LIST,1,1,1,1,11365,11365,other,
3221.42,20:28:24,2021.12.30,VOICE_JOIN_LIST,1,1,2,1,11365,11365,other,
3238.31,20:28:41,2021.12.30,VOICE_JOIN_LIST,1,1,1,1,11365,11365,other,
3668.72,20:35:51,2021.12.30,VOICE_JOIN_LIST,1,1,0,1,11365,11365,other,
8767.29,22:00:50,2021.12.30,VOICE_JOIN_LIST,1,1,1,1,11365,11365,other,
8770.36,22:00:53,2021.12.30,VOICE_JOIN_LIST,1,1,0,1,11365,11365,other,
9915.33,22:19:58,2021.12.30,VOICE_JOIN_LIST,1,1,1,1,11365,11365,other,
9925.06,22:20:07,2021.12.30,VOICE_JOIN_LIST,1,1,0,1,11365,11365,other,
10632.87,22:31:55,2021.12.30,VOICE_JOIN_LIST,1,1,1,1,11365,11365,other,
10638.16,22:32:00,2021.12.30,VOICE_JOIN_LIST,1,1,0,1,11365,11365,other,
