_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname,_content_data_uid,_content_data_total_coin,_content_data_top_list,_content_data_timestamp,_content_data_tid,_content_data_tag_image,_content_data_svga_block,_content_data_super_gift_num,_content_data_super_batch_gift_num,_content_data_super,_content_data_silver,_content_data_send_master,_content_data_rnd,_content_data_remain,_content_data_rcost,_content_data_price,_content_data_original_gift_name,_content_data_num,_content_data_name_color,_content_data_medal_info_anchor_roomid,_content_data_medal_info_anchor_uname,_content_data_medal_info_guard_level,_content_data_medal_info_icon_id,_content_data_medal_info_is_lighted,_content_data_medal_info_medal_color,_content_data_medal_info_medal_color_border,_content_data_medal_info_medal_color_end,_content_data_medal_info_medal_color_start,_content_data_medal_info_medal_level,_content_data_medal_info_medal_name,_content_data_medal_info_special,_content_data_medal_info_target_id,_content_data_magnification,_content_data_is_special_batch,_content_data_is_first,_content_data_guard_level,_content_data_gold,_content_data_giftType,_content_data_giftName,_content_data_giftId,_content_data_float_sc_resource_id,_content_data_face,_content_data_effect_block,_content_data_effect,_content_data_draw,_content_data_dmscore,_content_data_discount_price,_content_data_demarcation,_content_data_crit_prob,_content_data_combo_total_coin,_content_data_combo_stay_time,_content_data_combo_send_action,_content_data_combo_send_combo_id,_content_data_combo_send_combo_num,_content_data_combo_send_gift_id,_content_data_combo_send_gift_name,_content_data_combo_send_gift_num,_content_data_combo_send_send_master,_content_data_combo_send_uid,_content_data_combo_send_uname,_content_data_combo_resources_id,_content_data_coin_type,_content_data_broadcast_id,_content_data_blind_gift,_content_data_biz_source,_content_data_beatId,_content_data_batch_combo_send_action,_content_data_batch_combo_send_batch_combo_id,_content_data_batch_combo_send_batch_combo_num,_content_data_batch_combo_send_blind_gift,_content_data_batch_combo_send_gift_id,_content_data_batch_combo_send_gift_name,_content_data_batch_combo_send_gift_num,_content_data_batch_combo_send_send_master,_content_data_batch_combo_send_uid,_content_data_batch_combo_send_uname,_content_data_batch_combo_id,_content_data_action,_msg_type,
5.97,19:34:48,2021.12.30,SEND_GIFT,玛卡牛马,1000556525,100,None,1640864088,1640864088121500002,,0,1,1,0,0,None,1640864088121500002,0,517584063,100,,1,,0,,0,0,0,6067854,12632256,12632256,12632256,1,蕾丝,,777536,1,0,True,0,0,0,牛哇牛哇,31039,0,http://i2.hdslb.com/bfs/face/c5682b37584611683e76b0ca49e879128468c873.jpg,0,0,0,32,100,1,0,100,3,投喂,gift:combo_id:1000556525:777536:31039:1640864088.1897,1,31039,牛哇牛哇,1,None,1000556525,玛卡牛马,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1000556525:777536:31039:1640864088.1906,1,None,31039,牛哇牛哇,1,None,1000556525,玛卡牛马,batch:gift:combo_id:1000556525:777536:31039:1640864088.1906,投喂,gift,
9.09,19:34:51,2021.12.30,SEND_GIFT,北海水手莺,84203159,1000,None,1640864090,1640864090131900006,,0,1,1,0,0,None,1640864090131900006,0,517584390,1000,,1,#00D1F1,0,,3,0,1,1725515,6809855,5414290,1725515,22,蕾丝,,777536,1,0,True,3,0,0,铃铛,31175,0,http://i2.hdslb.com/bfs/face/50b6be18e0a2210cbe0cc4cd1eca159b6bf2bf66.jpg,0,0,0,120,1000,2,0,1000,3,投喂,gift:combo_id:84203159:777536:31175:1640864090.8447,1,31175,铃铛,1,None,84203159,北海水手莺,1,gold,0,None,Live,,投喂,batch:gift:combo_id:84203159:777536:31175:1640864090.8457,1,None,31175,铃铛,1,None,84203159,北海水手莺,batch:gift:combo_id:84203159:777536:31175:1640864090.8457,投喂,gift,
27.1,19:35:09,2021.12.30,SEND_GIFT,毛小毛的小心情,470146825,1000,None,1640864109,1640864109121500006,,0,1,1,0,0,None,1640864109121500006,0,517585990,1000,,1,,0,,0,0,1,6126494,6126494,6126494,6126494,6,蕾丝,,777536,1,0,True,0,0,0,铃铛,31175,0,http://i1.hdslb.com/bfs/face/b2509f2c94780c202b9f999e8552e3df2e14dedb.jpg,0,0,0,40,1000,2,0,1000,3,投喂,gift:combo_id:470146825:777536:31175:1640864109.7647,1,31175,铃铛,1,None,470146825,毛小毛的小心情,1,gold,0,None,Live,,投喂,batch:gift:combo_id:470146825:777536:31175:1640864109.7674,1,None,31175,铃铛,1,None,470146825,毛小毛的小心情,batch:gift:combo_id:470146825:777536:31175:1640864109.7674,投喂,gift,
31.35,19:35:14,2021.12.30,SEND_GIFT,袋袋子先生超能装,455233046,1000,None,1640864113,1640864113131600001,,0,1,1,0,0,None,1640864113131600001,0,517586018,1000,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,2,核糖,,837470,1,0,True,0,0,0,铃铛,31175,0,http://i2.hdslb.com/bfs/face/a10a41b900fd7e8605ed8a835c47182ab21c56fb.jpg,0,0,0,16,1000,2,0,1000,3,投喂,gift:combo_id:455233046:777536:31175:1640864113.4036,1,31175,铃铛,1,None,455233046,袋袋子先生超能装,1,gold,0,None,Live,,投喂,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,1,None,31175,铃铛,1,None,455233046,袋袋子先生超能装,batch:gift:combo_id:455233046:777536:31175:1640864113.4046,投喂,gift,
33.44,19:35:16,2021.12.30,SEND_GIFT,吧唧一口李子,188551555,100,None,1640864115,1640864115121500005,,0,1,1,0,0,None,790645086,0,517586029,100,,1,,0,,0,0,0,0,0,0,0,0,,,0,1,0,True,0,0,0,粉丝团灯牌,31164,0,http://i1.hdslb.com/bfs/face/bc3a6744bec055c3697141c0829564573775ece1.jpg,0,3,0,8,100,1,0,100,3,投喂,gift:combo_id:188551555:777536:31164:1640864115.8002,1,31164,粉丝团灯牌,1,None,188551555,吧唧一口李子,1,gold,0,None,Live,,投喂,batch:gift:combo_id:188551555:777536:31164:1640864115.8009,1,None,31164,粉丝团灯牌,1,None,188551555,吧唧一口李子,batch:gift:combo_id:188551555:777536:31164:1640864115.8009,投喂,gift,
33.44,19:35:16,2021.12.30,SEND_GIFT,八带它不香,1774970478,100,None,1640864115,1640864115131800001,,0,1,1,0,0,None,1640864115131800001,0,517586029,100,,1,,0,,0,0,1,6067854,6067854,6067854,6067854,3,骚豆腐,,4578433,1,0,True,0,0,0,粉丝团灯牌,31164,0,http://i0.hdslb.com/bfs/face/edd5e842447aadf0dc81419228f04dbcc78f1d39.jpg,0,3,0,16,100,1,0,100,3,投喂,gift:combo_id:1774970478:777536:31164:1640864115.9667,1,31164,粉丝团灯牌,1,None,1774970478,八带它不香,1,gold,0,None,Live,,投喂,batch:gift:combo_id:1774970478:777536:31164:1640864115.9675,1,None,31164,粉丝团灯牌,1,None,1774970478,八带它不香,batch:gift:combo_id:1774970478:777536:31164:1640864115.9675,投喂,gift,
37.66,19:35:20,2021.12.30,SEND_GIFT,花生米拽又拽,318126186,100,None,1640864119,1640864119121600001,,0,1,1,0,0,None,1640864119121600001,0,517587453,100,,1,,0,,0,0,0,6067854,12632256,12632256,12632256,4,蕾丝,,777536,1,0,True,0,0,0,粉丝团灯牌,31164,0,http://i0.hdslb.com/bfs/face/45e35456edfc2c6f9dae911b32c28e9f333449d8.jpg,0,3,0,32,100,1,0,100,3,投喂,gift:combo_id:318126186:777536:31164:1640864119.5333,1,31164,粉丝团灯牌,1,None,318126186,花生米拽又拽,1,gold,0,None,Live,,投喂,batch:gift:combo_id:318126186:777536:31164:1640864119.5341,1,None,31164,粉丝团灯牌,1,None,318126186,花生米拽又拽,batch:gift:combo_id:318126186:777536:31164:1640864119.5341,投喂,gift,
41.04,19:35:23,2021.12.30,SEND_GIFT,毛小毛的小心情,470146825,100,None,1640864122,1640864122121500009,,0,1,1,0,0,None,1640864122121500009,0,517587968,100,,1,,0,,0,0,1,6126494,6126494,6126494,6126494,6,蕾丝,,777536,1,0,True,0,0,0,粉丝团灯牌,31164,0,http://i1.hdslb.com/bfs/face/b2509f2c94780c202b9f999e8552e3df2e14dedb.jpg,0,3,0,40,100,1,0,100,3,投喂,gift:combo_id:470146825:777536:31164:1640864122.7798,1,31164,粉丝团灯牌,1,None,470146825,毛小毛的小心情,1,gold,0,None,Live,,投喂,batch:gift:combo_id:470146825:777536:31164:1640864122.7805,1,None,31164,粉丝团灯牌,1,None,470146825,毛小毛的小心情,batch:gift:combo_id:470146825:777536:31164:1640864122.7805,投喂,gift,
41.04,19:35:23,2021.12.30,SEND_GIFT,蕾克西菜菜子,664223240,2000,None,1640864123,1640864123131000001,,0,1,1,0,0,None,1640864123131000001,0,517587987,2000,,1,,0,,0,0,0,6126494,12632256,12632256,12632256,5,蕾丝,,777536,1,0,True,0,0,0,盛典门票,31109,0,http://i2.hdslb.com/bfs/face/86c207184f9b754dde5e8f287f5c0de2a6dd1397.jpg,0,0,0,40,2000,2,0,2000,3,投喂,gift:combo_id:664223240:777536:31109:1640864123.4443,1,31109,盛典门票,1,None,664223240,蕾克西菜菜子,1,gold,0,None,Live,,投喂,batch:gift:combo_id:664223240:777536:31109:1640864123.4451,1,None,31109,盛典门票,1,None,664223240,蕾克西菜菜子,batch:gift:combo_id:664223240:777536:31109:1640864123.4451,投喂,gift,
42.08,19:35:24,2021.12.30,SEND_GIFT,爷青结了,297152523,100,None,1640864124,1640864124121300002,,0,1,1,0,0,None,1640864124121300002,0,517587969,100,,1,,0,,0,0,0,6126494,12632256,12632256,12632256,6,热水喵,,6161116,1,0,True,0,0,0,粉丝团灯牌,31164,0,http://i0.hdslb.com/bfs/face/42852e29af1cfeed066d79774e25ec6758f95f5d.jpg,0,3,0,24,100,1,0,100,3,投喂,gift:combo_id:297152523:777536:31164:1640864124.2543,1,31164,粉丝团灯牌,1,None,297152523,爷青结了,1,gold,0,None,Live,,投喂,batch:gift:combo_id:297152523:777536:31164:1640864124.2552,1,None,31164,粉丝团灯牌,1,None,297152523,爷青结了,batch:gift:combo_id:297152523:777536:31164:1640864124.2552,投喂,gift,
