_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_anchor_info_uid,_content_data_anchor_info_uname,_content_data_anchor_info_uface,_content_data_pk_info,_content_data_anchor_lottery,_content_data_timestamp,_content_data_guard_level,_content_data_fans_medal_level,_content_data_msg,_content_data_paid,_content_data_price,_content_data_gift_num,_content_data_gift_name,_content_data_gift_id,_content_data_uface,_content_data_uname,_content_data_uid,_content_data_type,_msg_type,
21.07,19:35:03,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864103,0,17,,False,0,4,小心心,30607,http://i0.hdslb.com/bfs/face/25f3db9b943404224e6d947b77107624ef6ab246.jpg,近卫の扇,2446620,1,other,
25.39,19:35:08,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864107,0,17,,False,0,4,小心心,30607,http://i0.hdslb.com/bfs/face/25f3db9b943404224e6d947b77107624ef6ab246.jpg,近卫の扇,2446620,1,other,
33.73,19:35:16,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864115,0,17,,False,0,10,小心心,30607,http://i0.hdslb.com/bfs/face/25f3db9b943404224e6d947b77107624ef6ab246.jpg,近卫の扇,2446620,1,other,
119.31,19:36:42,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864201,0,16,,False,0,24,小心心,30607,http://i0.hdslb.com/bfs/face/65b87ac64a396cb52128f2b3f30eb3b9882cf602.jpg,言灵--火灵,415451730,1,other,
161.64,19:37:24,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864243,0,10,,False,0,24,小心心,30607,http://i1.hdslb.com/bfs/face/c38b1c0406f96210f699d64c169296b03385ecf4.jpg,某魔法的晓美焰,24639289,1,other,
165.22,19:37:27,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864246,0,10,,False,0,18,小心心,30607,http://i1.hdslb.com/bfs/face/c38b1c0406f96210f699d64c169296b03385ecf4.jpg,某魔法的晓美焰,24639289,1,other,
601.44,19:44:44,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864683,0,0,,False,9900,1,B坷垃,3,http://i2.hdslb.com/bfs/face/211438909e74577662639fb73bc802579909ffdc.jpg,嘉南富豪哥哥,606520076,1,other,
869.34,19:49:12,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864950,0,17,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/7b698caa9d2be733a4621830e9141f14a729489b.jpg,无限期望,38420216,1,other,
869.34,19:49:12,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640864951,0,17,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/7b698caa9d2be733a4621830e9141f14a729489b.jpg,无限期望,38420216,1,other,
1076.36,19:52:39,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640865158,0,16,,False,0,18,小心心,30607,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,空笙箫默,179607091,1,other,
