_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname,_content_data_uid,_content_data_total_coin,_content_data_top_list,_content_data_timestamp,_content_data_tid,_content_data_tag_image,_content_data_svga_block,_content_data_super_gift_num,_content_data_super_batch_gift_num,_content_data_super,_content_data_silver,_content_data_send_master,_content_data_rnd,_content_data_remain,_content_data_rcost,_content_data_price,_content_data_original_gift_name,_content_data_num,_content_data_name_color,_content_data_medal_info_anchor_roomid,_content_data_medal_info_anchor_uname,_content_data_medal_info_guard_level,_content_data_medal_info_icon_id,_content_data_medal_info_is_lighted,_content_data_medal_info_medal_color,_content_data_medal_info_medal_color_border,_content_data_medal_info_medal_color_end,_content_data_medal_info_medal_color_start,_content_data_medal_info_medal_level,_content_data_medal_info_medal_name,_content_data_medal_info_special,_content_data_medal_info_target_id,_content_data_magnification,_content_data_is_special_batch,_content_data_is_first,_content_data_guard_level,_content_data_gold,_content_data_giftType,_content_data_giftName,_content_data_giftId,_content_data_float_sc_resource_id,_content_data_face,_content_data_effect_block,_content_data_effect,_content_data_draw,_content_data_dmscore,_content_data_discount_price,_content_data_demarcation,_content_data_crit_prob,_content_data_combo_total_coin,_content_data_combo_stay_time,_content_data_combo_send,_content_data_combo_resources_id,_content_data_coin_type,_content_data_broadcast_id,_content_data_blind_gift,_content_data_biz_source,_content_data_beatId,_content_data_batch_combo_send,_content_data_batch_combo_id,_content_data_action,_msg_type,
21.07,19:35:03,2021.12.30,SEND_GIFT,近卫の扇,2446620,0,None,1640864103,1640864103110000004,,0,4,1,0,0,None,1640864103110000004,0,78518439,0,,4,,0,,0,0,1,13081892,13081892,13081892,13081892,17,水有月,,1958342,1,0,True,0,0,5,小心心,30607,0,http://i0.hdslb.com/bfs/face/25f3db9b943404224e6d947b77107624ef6ab246.jpg,1,0,0,36,0,1,0,1,3,None,1,silver,0,None,Live,0,None,batch:gift:combo_id:2446620:1958342:30607:1640864103.5107,投喂,gift,
25.39,19:35:08,2021.12.30,SEND_GIFT,近卫の扇,2446620,0,None,1640864107,1640864107110000001,,0,8,2,0,0,None,1640864107110000001,16,78518439,0,,4,,0,,0,0,1,13081892,13081892,13081892,13081892,17,水有月,,1958342,1,0,False,0,0,5,小心心,30607,0,http://i0.hdslb.com/bfs/face/25f3db9b943404224e6d947b77107624ef6ab246.jpg,1,0,0,36,0,1,0,1,3,None,1,silver,0,None,Live,0,None,batch:gift:combo_id:2446620:1958342:30607:1640864103.5107,投喂,gift,
33.73,19:35:16,2021.12.30,SEND_GIFT,近卫の扇,2446620,0,None,1640864115,1640864115110000001,,0,18,1,0,0,None,1640864115110000001,6,78518439,0,,10,,0,,0,0,1,13081892,13081892,13081892,13081892,17,水有月,,1958342,1,0,False,0,0,5,小心心,30607,0,http://i0.hdslb.com/bfs/face/25f3db9b943404224e6d947b77107624ef6ab246.jpg,1,0,0,36,0,1,0,1,3,None,1,silver,0,None,Live,0,None,batch:gift:combo_id:2446620:1958342:30607:1640864115.4347,投喂,gift,
119.31,19:36:42,2021.12.30,SEND_GIFT,言灵--火灵,415451730,0,None,1640864201,1640864201110000003,,0,24,1,0,0,None,1640864201110000003,0,78518439,0,,24,,0,,0,0,1,12478086,12478086,12478086,12478086,16,水有月,,1958342,1,0,True,0,0,5,小心心,30607,0,http://i0.hdslb.com/bfs/face/65b87ac64a396cb52128f2b3f30eb3b9882cf602.jpg,1,0,0,36,0,1,0,1,3,None,1,silver,0,None,Live,0,None,batch:gift:combo_id:415451730:1958342:30607:1640864201.3016,投喂,gift,
161.64,19:37:24,2021.12.30,SEND_GIFT,某魔法的晓美焰,24639289,0,None,1640864243,1640864243110900002,,0,24,1,0,0,None,1640864243110900002,0,78518439,0,,24,,0,,0,0,1,9272486,9272486,9272486,9272486,10,水有月,,1958342,1,0,True,0,0,5,小心心,30607,0,http://i1.hdslb.com/bfs/face/c38b1c0406f96210f699d64c169296b03385ecf4.jpg,1,0,0,28,0,1,0,1,3,None,1,silver,0,None,Live,0,None,batch:gift:combo_id:24639289:1958342:30607:1640864243.4160,投喂,gift,
165.22,19:37:27,2021.12.30,SEND_GIFT,某魔法的晓美焰,24639289,0,None,1640864246,1640864246110900005,,0,42,1,0,0,None,1640864246110900005,0,78518439,0,,18,,0,,0,0,1,9272486,9272486,9272486,9272486,10,水有月,,1958342,1,0,False,0,0,5,小心心,30607,0,http://i1.hdslb.com/bfs/face/c38b1c0406f96210f699d64c169296b03385ecf4.jpg,1,0,0,28,0,1,0,1,3,None,1,silver,0,None,Live,0,None,batch:gift:combo_id:24639289:1958342:30607:1640864246.9357,投喂,gift,
601.44,19:44:44,2021.12.30,SEND_GIFT,嘉南富豪哥哥,606520076,9900,None,1640864683,1640864683110600002,,0,0,0,0,0,None,1640864683110600002,6,78518538,9900,,1,,0,,3,0,1,398668,6809855,6850801,398668,26,大母鹅,,433351,1,0,True,0,0,0,B坷垃,3,0,http://i2.hdslb.com/bfs/face/211438909e74577662639fb73bc802579909ffdc.jpg,1,3,0,40,0,2,0,0,3,None,1,silver,0,None,Live,0,None,,投喂,gift,
869.34,19:49:12,2021.12.30,SEND_GIFT,无限期望,38420216,0,None,1640864950,1640864950120600002,,0,1,1,0,0,None,1640864950120600002,1,78518538,0,,1,,0,,0,0,1,13081892,13081892,13081892,13081892,18,杆菌,,164627,1,0,True,0,0,5,小心心,30607,0,http://i2.hdslb.com/bfs/face/7b698caa9d2be733a4621830e9141f14a729489b.jpg,1,0,0,32,0,1,0,1,3,None,1,silver,0,None,live,,None,batch:gift:combo_id:38420216:1958342:30607:1640864951.0037,投喂,gift,
869.34,19:49:12,2021.12.30,SEND_GIFT,无限期望,38420216,0,None,1640864951,1640864951120600001,,0,2,2,0,0,None,1640864951120600001,0,78518538,0,,1,,0,,0,0,1,13081892,13081892,13081892,13081892,18,杆菌,,164627,1,0,False,0,0,5,小心心,30607,0,http://i2.hdslb.com/bfs/face/7b698caa9d2be733a4621830e9141f14a729489b.jpg,1,0,0,32,0,1,0,1,3,None,1,silver,0,None,live,,None,batch:gift:combo_id:38420216:1958342:30607:1640864951.0037,投喂,gift,
1076.36,19:52:39,2021.12.30,SEND_GIFT,空笙箫默,179607091,0,None,1640865158,1640865158120100003,,0,18,1,0,0,None,222637929,0,78518538,0,,18,,0,,0,0,1,12478086,12478086,12478086,12478086,16,水有月,,1958342,1,0,True,0,0,5,小心心,30607,0,http://i1.hdslb.com/bfs/face/d41467eb066367e03a8e0437b4f6e855c820225c.jpg,1,0,0,40,0,1,0,1,3,None,1,silver,0,None,live,,None,batch:gift:combo_id:179607091:1958342:30607:1640865158.0847,投喂,gift,
