_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_uname_color,_content_data_uname,_content_data_uid,_content_data_trigger_time,_content_data_timestamp,_content_data_tail_icon,_content_data_spread_info,_content_data_spread_desc,_content_data_score,_content_data_roomid,_content_data_msg_type,_content_data_is_spread,_content_data_identities,_content_data_fans_medal_anchor_roomid,_content_data_fans_medal_guard_level,_content_data_fans_medal_icon_id,_content_data_fans_medal_is_lighted,_content_data_fans_medal_medal_color,_content_data_fans_medal_medal_color_border,_content_data_fans_medal_medal_color_end,_content_data_fans_medal_medal_color_start,_content_data_fans_medal_medal_level,_content_data_fans_medal_medal_name,_content_data_fans_medal_score,_content_data_fans_medal_special,_content_data_fans_medal_target_id,_content_data_dmscore,_content_data_contribution_grade,_msg_type,
55.05,19:35:37,2021.12.30,INTERACT_WORD,,幸福小爪机,346811328,1640864134779820000,1640864135,0,,,1640864135870,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,20,0,other,
87.83,19:36:10,2021.12.30,INTERACT_WORD,,Ali11111112,281465390,1640864167590210800,1640864168,0,,,1640864168647,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
127.75,19:36:50,2021.12.30,INTERACT_WORD,,强壮的小番茄,28105345,1640864207489857500,1640864208,0,,,1640864208557,23789393,1,0,[1],22391055,0,0,0,1725515,12632256,12632256,12632256,21,么扒皮,50001980,,128621184,16,0,other,
178.68,19:37:41,2021.12.30,INTERACT_WORD,,小圣叨叨,345613715,1640864258408045800,1640864259,0,,,1640864259491,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
264.14,19:39:06,2021.12.30,INTERACT_WORD,,猫老鱼,456165574,1640864343918975000,1640864344,0,,,1640874445914,23789393,1,0,[3, 1],22949729,0,0,1,6067854,6067854,6067854,6067854,1,圈大钱,101,,234418780,4,0,other,
321.79,19:40:04,2021.12.30,INTERACT_WORD,,正义の小怪兽-,388938152,1640864401521540000,1640864402,0,,,1640864402542,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
393.3,19:41:16,2021.12.30,INTERACT_WORD,,小武同学22,68450107,1640864473050475500,1640864474,0,,,1640864474097,23789393,1,0,[1],21724277,0,0,0,6067854,12632256,12632256,12632256,3,椿家银,778,,13199099,4,0,other,
563.51,19:44:06,2021.12.30,INTERACT_WORD,,其实我是波妈,11221022,1640864643276909000,1640864644,0,,,1640864644263,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
586.07,19:44:28,2021.12.30,INTERACT_WORD,,何喝盒子,270082916,1640864665797484300,1640864666,0,,,1640864666897,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
629.69,19:45:12,2021.12.30,INTERACT_WORD,,arafat129,385799937,1640864709424169000,1640864710,0,,,1640864710435,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
654.29,19:45:37,2021.12.30,INTERACT_WORD,,bili_65732333013,501034328,1640864734044288500,1640864735,0,,,1640864735046,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
674.61,19:45:57,2021.12.30,INTERACT_WORD,,茶杯喵Oo,13497135,1640864754308348000,1640864755,0,,,1640864755424,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
678.39,19:46:01,2021.12.30,INTERACT_WORD,,灵魂_无处安放,480710682,1640864758106260000,1640864759,0,,,1640864759214,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
693.21,19:46:16,2021.12.30,INTERACT_WORD,,64225315261_bili,411299143,1640864772993814800,1640864774,0,,,1640864774036,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
779.45,19:47:42,2021.12.30,INTERACT_WORD,,变成贡品守护喜顺哥哥,573574835,1640864859208427000,1640864860,0,,,1640864860265,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
814.35,19:48:17,2021.12.30,INTERACT_WORD,,芳心纵火转,15137987,1640864894050283500,1640864895,0,,,1690900227169,23789393,1,0,[3, 1],23692771,0,0,1,398668,398668,6850801,398668,25,鹿噜噜,50025332,,2005375914,20,0,other,
822.85,19:48:25,2021.12.30,INTERACT_WORD,,旷野里的一隅,15147773,1640864902598115000,1640864903,0,,,1640864903668,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
828.94,19:48:31,2021.12.30,INTERACT_WORD,,成步堂龙申,524975949,1640864908675603500,1640864909,0,,,1640864909764,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
841.2,19:48:44,2021.12.30,INTERACT_WORD,,bili_92945042620,1474116264,1640864920920864300,1640864922,0,,,1640864922030,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
842.47,19:48:45,2021.12.30,INTERACT_WORD,,o莲藕o,21413868,1640864922235966000,1640864923,0,,,1640864923295,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
901.49,19:49:44,2021.12.30,INTERACT_WORD,,_小佬弟_,690060412,1640864981255965000,1640864982,0,,,1640864982326,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
912.92,19:49:55,2021.12.30,INTERACT_WORD,,13203512318,304756828,1640864992654526000,1640864993,0,,,1640864993714,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
1004.49,19:51:27,2021.12.30,INTERACT_WORD,,2021做個好人,171584796,1640865084178898000,1640865085,0,,,1640865085290,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
1043.84,19:52:06,2021.12.30,INTERACT_WORD,,吴大胆嗷,371396316,1640865123631837400,1640865124,0,,,1640865124668,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
1264.67,19:55:47,2021.12.30,INTERACT_WORD,,泡椒小混沌,363404839,1640865344366857000,1640865345,0,,,1640865345401,23789393,1,0,[1],0,0,0,0,0,0,0,0,0,,0,,0,2,0,other,
