_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_rank_type,_content_data_list,_msg_type,
171.14,19:37:33,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
351.4,19:40:34,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
411.41,19:41:34,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
471.39,19:42:34,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
530.6,19:43:33,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
591.4,19:44:34,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
651.46,19:45:34,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
710.45,19:46:33,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
770.86,19:47:33,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
831.32,19:48:34,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 1, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 2, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 3, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 4, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 5, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 6, 'guard_level': 2}, {'uid': 153500732, 'face': 'http://i2.hdslb.com/bfs/face/c43c5eeaf6795a31d1b6ef7a6a0d7588020101de.jpg', 'score': '23', 'uname': '回响office', 'rank': 7, 'guard_level': 3}],other,
848.28,19:48:51,2021.12.30,ONLINE_RANK_V2,gold-rank,[{'uid': 8920872, 'face': 'http://i0.hdslb.com/bfs/face/1f271a06bacfb442b8a24b276405331c197f72ff.jpg', 'score': '11742', 'uname': '本体哈士奇', 'rank': 1, 'guard_level': 2}, {'uid': 23200808, 'face': 'http://i2.hdslb.com/bfs/face/3559336d04c4935f16cc9d39b8d1ffd97000ba18.jpg', 'score': '5960', 'uname': '偷窥艺术', 'rank': 2, 'guard_level': 2}, {'uid': 380886906, 'face': 'http://i0.hdslb.com/bfs/face/9ba627a6960a1e984cf7439bd7aeec159c5e88f1.jpg', 'score': '509', 'uname': '再见了阿b', 'rank': 3, 'guard_level': 0}, {'uid': 23919698, 'face': 'http://i2.hdslb.com/bfs/face/b6bb6f568bfb7496cf8b70aaaa6f986059a244a2.jpg', 'score': '310', 'uname': '明明是乐子人', 'rank': 4, 'guard_level': 3}, {'uid': 381474699, 'face': 'http://i0.hdslb.com/bfs/face/6e7ba8fe535de79193aef0174f8f57641409a53a.jpg', 'score': '197', 'uname': '沉陌2012', 'rank': 5, 'guard_level': 0}, {'uid': 564582, 'face': 'http://i0.hdslb.com/bfs/face/4b33b1464f467c6d46174f91be4005f653ea3a54.jpg', 'score': '45', 'uname': 'OwenWithDaB', 'rank': 6, 'guard_level': 2}, {'uid': 642530, 'face': 'http://i2.hdslb.com/bfs/face/f348f2945de189a12dd041f0d8649852a2cc41df.jpg', 'score': '34', 'uname': 'Spicy・Chocolate', 'rank': 7, 'guard_level': 2}],other,
