_DeltaTime,_ExactTime,_Date,_color,_content,_name,_msg_type,
158.97,19:37:21,2021.12.30,54eed8,贴贴,看看几点了-,danmaku,
176.02,19:37:38,2021.12.30,54eed8,二啊，咋害妹上班捏,卤香小鱼,danmaku,
182.69,19:37:45,2021.12.30,00fffc,每日首弹,NS-CN,danmaku,
191.86,19:37:54,2021.12.30,54eed8,来了来了,阿缪子有点小烦,danmaku,
384.61,19:41:07,2021.12.30,54eed8,来了来了,孤月苍夜2021,danmaku,
478.03,19:42:40,2021.12.30,54eed8,蹲蹲蹲,sky逆子天团_粥粥,danmaku,
548.38,19:43:51,2021.12.30,58c1de,神清气爽,爱上桃子呀,danmaku,
835.02,19:48:37,2021.12.30,54eed8,.,original丶belief,danmaku,
865.83,19:49:08,2021.12.30,54eed8,二老师去交公粮了吗,T辞阑T,danmaku,
1035.72,19:51:58,2021.12.30,ffffff,二老师还不出现,绅士都爱肋膈沟,danmaku,
1050.58,19:52:13,2021.12.30,e33fff,今晚晚点播，昨晚没睡，今天陪我产检，下午五点才回来补觉的,是谢北北呀,danmaku,
1091.43,19:52:54,2021.12.30,54eed8,打扰了,猫猫头-铖,danmaku,
1121.34,19:53:24,2021.12.30,ffffff,打扰了,cIoud华米,danmaku,
1121.34,19:53:24,2021.12.30,ffffff,原来二嫂一直在,绅士都爱肋膈沟,danmaku,
1138.09,19:53:40,2021.12.30,54eed8,。,Dst-星野,danmaku,
1160.69,19:54:03,2021.12.30,ffffff,二哥辛苦啦,没有火的锅小刘,danmaku,
1197.51,19:54:40,2021.12.30,ffffff,....,饿哦批挖,danmaku,
1221.89,19:55:04,2021.12.30,ffffff,欧耶,绅士都爱肋膈沟,danmaku,
1225.4,19:55:08,2021.12.30,54eed8,打扰了,゜芬达,danmaku,
1280.16,19:56:02,2021.12.30,54eed8,打卡。,迎茧,danmaku,
1280.16,19:56:02,2021.12.30,58c1de,颠勺,田园崽崽,danmaku,
1299.34,19:56:22,2021.12.30,ffffff,来了来了,绅士都爱肋膈沟,danmaku,
1327.55,19:56:50,2021.12.30,54eed8,这就是传说中的二嫂？？？,安吉天荒TT,danmaku,
1441.28,19:58:44,2021.12.30,e33fff,啥叫传说中,是谢北北呀,danmaku,
1506.38,19:59:49,2021.12.30,ffffff,提前占座，前排嗑瓜子,狗抢光了好昵称,danmaku,
1619.1,20:01:41,2021.12.30,54eed8,还没来,骷髅大帝白鸡,danmaku,
1626.77,20:01:49,2021.12.30,ffffff,今天打吗,度假人,danmaku,
1630.23,20:01:53,2021.12.30,ffffff,几点开播啊,唐四方,danmaku,
1687.28,20:02:50,2021.12.30,ffffff,今天怎么说都得八点半才能播了吧,绅士都爱肋膈沟,danmaku,
1702.64,20:03:05,2021.12.30,e33fff,刚起床，在吃饭,是谢北北呀,danmaku,
1713.14,20:03:15,2021.12.30,e33fff,吃完就开播,是谢北北呀,danmaku,
1722.53,20:03:25,2021.12.30,ffffff,太辛苦了,绅士都爱肋膈沟,danmaku,
1722.53,20:03:25,2021.12.30,e33fff,打扰了,小乖乖哦~,danmaku,
1953.43,20:07:16,2021.12.30,54eed8,打卡,czm180,danmaku,
1972.32,20:07:35,2021.12.30,ffffff,吃啥饭菜,唐四方,danmaku,
1992.87,20:07:55,2021.12.30,54eed8,打卡,OSTRICH_大鸵鸟,danmaku,
2199.87,20:11:22,2021.12.30,58c1de,首弹,1老白菜,danmaku,
2277.95,20:12:40,2021.12.30,ff6868,慢慢来，不急，二嫂要紧,Arikawa_Hime,danmaku,
2441.94,20:15:24,2021.12.30,58c1de,左上角有头像框了,接箭呆穆头,danmaku,
2509.36,20:16:32,2021.12.30,54eed8,首单,光与二之恋,danmaku,
2513.09,20:16:35,2021.12.30,54eed8,签到,TnTAlaskaQaQ,danmaku,
2521.79,20:16:44,2021.12.30,ffffff,首单,诡术妖吱,danmaku,
2569.62,20:17:32,2021.12.30,ffffff,今天播吗,长白山上充电宝,danmaku,
2572.72,20:17:35,2021.12.30,ffffff,爱我,长白山上充电宝,danmaku,
2576.38,20:17:39,2021.12.30,ffffff,请问,长白山上充电宝,danmaku,
2595.6,20:17:58,2021.12.30,ffffff,同问,诡术妖吱,danmaku,
2612.54,20:18:15,2021.12.30,ffffff,你猜,绅士都爱肋膈沟,danmaku,
2622.99,20:18:25,2021.12.30,ffffff,猜什么,长白山上充电宝,danmaku,
2636.28,20:18:39,2021.12.30,ffffff,不播我走了,长白山上充电宝,danmaku,
2652.27,20:18:55,2021.12.30,ffffff,知道的打一下,长白山上充电宝,danmaku,
2711.11,20:19:53,2021.12.30,54eed8,签到,我叫黄毅,danmaku,
2741.17,20:20:23,2021.12.30,ffffff,芜湖,捞肃,danmaku,
2759.04,20:20:41,2021.12.30,ffffff,保利龙,绅士都爱肋膈沟,danmaku,
2886.67,20:22:49,2021.12.30,ffffff,再见,长白山上充电宝,danmaku,
2924.11,20:23:26,2021.12.30,ffffff,（￣▽￣）,我听说改名能变欧,danmaku,
3106.42,20:26:29,2021.12.30,54eed8,(｀・ω・´),胡歌゛,danmaku,
3139.8,20:27:02,2021.12.30,00fffc,打卡,一只喵条,danmaku,
3306.66,20:29:49,2021.12.30,54eed8,打卡,最愛ラーメン,danmaku,
3410.67,20:31:33,2021.12.30,54eed8,打扰了,孤星243768,danmaku,
3450.44,20:32:13,2021.12.30,54eed8,打扰了,77请你喝椰奶,danmaku,
3451.69,20:32:14,2021.12.30,54eed8,打扰了,七星璀璨凝流光-,danmaku,
3483.56,20:32:46,2021.12.30,54eed8,打扰了,牛年流连,danmaku,
3505.63,20:33:08,2021.12.30,54eed8,二哥怎么还不来,看看几点了-,danmaku,
3551.0,20:33:53,2021.12.30,58c1de,来了来了,嗨莱特家的light,danmaku,
3598.87,20:34:41,2021.12.30,54eed8,妙啊,千揍惑,danmaku,
3716.21,20:36:39,2021.12.30,54eed8,(〜￣△￣)〜,540妥妥のYuki,danmaku,
3773.43,20:37:36,2021.12.30,e33fff,今晚不播了，二哥赶视频去了,是谢北北呀,danmaku,
3817.83,20:38:20,2021.12.30,ffffff,2333333,绅士都爱肋膈沟,danmaku,
3843.31,20:38:46,2021.12.30,58c1de,二哥吃完饭去运动了,接箭呆穆头,danmaku,
3849.72,20:38:52,2021.12.30,54eed8,打扰了,崩坏星穹铁道偶像,danmaku,
3862.44,20:39:05,2021.12.30,ffffff,打扰了,绅士都爱肋膈沟,danmaku,
3996.36,20:41:19,2021.12.30,ffffff,啊？不播了？,度假人,danmaku,
4045.66,20:42:08,2021.12.30,58c1de,颠勺,你好我是蹦蹦,danmaku,
4053.38,20:42:16,2021.12.30,ffffff,牛牛牛,痛击吾之队友,danmaku,
