_content_cmd,_content_data_rank_type,_content_data_list,_msg_type,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 3, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 4, 'guard_level': 3}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 5, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 6, 'guard_level': 0}, {'uid': 26521781, 'face': 'http://i2.hdslb.com/bfs/face/80c47c3adfb3a729cf538079a857a6a9c4d063b6.jpg', 'score': '333', 'uname': '毕竟羲之', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 3, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 4, 'guard_level': 3}, {'uid': 26521781, 'face': 'http://i2.hdslb.com/bfs/face/80c47c3adfb3a729cf538079a857a6a9c4d063b6.jpg', 'score': '663', 'uname': '毕竟羲之', 'rank': 5, 'guard_level': 0}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 6, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 3, 'guard_level': 3}, {'uid': 26521781, 'face': 'http://i2.hdslb.com/bfs/face/80c47c3adfb3a729cf538079a857a6a9c4d063b6.jpg', 'score': '676', 'uname': '毕竟羲之', 'rank': 4, 'guard_level': 0}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 5, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 6, 'guard_level': 0}, {'uid': 2653807, 'face': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'score': '351', 'uname': 'AssassinL', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 3, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 4, 'guard_level': 3}, {'uid': 26521781, 'face': 'http://i2.hdslb.com/bfs/face/80c47c3adfb3a729cf538079a857a6a9c4d063b6.jpg', 'score': '676', 'uname': '毕竟羲之', 'rank': 5, 'guard_level': 0}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 6, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 3, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 4, 'guard_level': 3}, {'uid': 26521781, 'face': 'http://i2.hdslb.com/bfs/face/80c47c3adfb3a729cf538079a857a6a9c4d063b6.jpg', 'score': '676', 'uname': '毕竟羲之', 'rank': 5, 'guard_level': 0}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 6, 'guard_level': 0}, {'uid': 2653807, 'face': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'score': '352', 'uname': 'AssassinL', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 3, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 4, 'guard_level': 3}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 5, 'guard_level': 0}, {'uid': 2653807, 'face': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'score': '352', 'uname': 'AssassinL', 'rank': 6, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 3, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 4, 'guard_level': 3}, {'uid': 26521781, 'face': 'http://i2.hdslb.com/bfs/face/80c47c3adfb3a729cf538079a857a6a9c4d063b6.jpg', 'score': '676', 'uname': '毕竟羲之', 'rank': 5, 'guard_level': 0}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 6, 'guard_level': 0}, {'uid': 2653807, 'face': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'score': '352', 'uname': 'AssassinL', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 3, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 4, 'guard_level': 3}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 5, 'guard_level': 0}, {'uid': 2653807, 'face': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'score': '352', 'uname': 'AssassinL', 'rank': 6, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 1, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 2, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 3, 'guard_level': 3}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 4, 'guard_level': 0}, {'uid': 2653807, 'face': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'score': '352', 'uname': 'AssassinL', 'rank': 5, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 6, 'guard_level': 0}, {'uid': 433979080, 'face': 'http://i1.hdslb.com/bfs/face/28f14d2fa05606a4bd86a8d5c9fc6bd64246756e.jpg', 'score': '312', 'uname': 'Peach_taozi', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 513842292, 'face': 'http://i0.hdslb.com/bfs/face/d8a69c5ab8dc3480a745eb5bc1e3d82d2ea43a8b.jpg', 'score': '1720', 'uname': '铁树开花了33', 'rank': 1, 'guard_level': 0}, {'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 2, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 3, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 4, 'guard_level': 3}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 5, 'guard_level': 0}, {'uid': 2653807, 'face': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'score': '352', 'uname': 'AssassinL', 'rank': 6, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 7, 'guard_level': 0}],other,
ONLINE_RANK_V2,gold-rank,[{'uid': 76743105, 'face': 'http://i0.hdslb.com/bfs/face/667fc8f77f4a5f8c777e912d73071de8b1bc13e1.jpg', 'score': '1385', 'uname': '爱克狮', 'rank': 1, 'guard_level': 3}, {'uid': 543758368, 'face': 'http://i1.hdslb.com/bfs/face/3bd09a35bb7ceb55b6c0ece88b1671d50c9f9c7a.jpg', 'score': '1381', 'uname': '降魔大胜魈', 'rank': 2, 'guard_level': 3}, {'uid': 353436503, 'face': 'http://i2.hdslb.com/bfs/face/5a0b35bfb49282900a87ad61249decdd709cb56b.jpg', 'score': '1380', 'uname': '不是沉欢', 'rank': 3, 'guard_level': 3}, {'uid': 105038718, 'face': 'http://i0.hdslb.com/bfs/face/e3abdbf495ca47e1ec2160cbe44b31f86583431d.jpg', 'score': '386', 'uname': '云里雾里相见恨晚', 'rank': 4, 'guard_level': 0}, {'uid': 2653807, 'face': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'score': '352', 'uname': 'AssassinL', 'rank': 5, 'guard_level': 0}, {'uid': 7930886, 'face': 'http://i2.hdslb.com/bfs/face/cd7ba612ac2fb4003e8034ef8b3d1d4db23b6be9.jpg', 'score': '352', 'uname': '黑心人', 'rank': 6, 'guard_level': 0}, {'uid': 433979080, 'face': 'http://i1.hdslb.com/bfs/face/28f14d2fa05606a4bd86a8d5c9fc6bd64246756e.jpg', 'score': '312', 'uname': 'Peach_taozi', 'rank': 7, 'guard_level': 0}],other,
